url,title,address,price,beds,baths,sqft,description,image_main,images,property_status,property_type,bedrooms,bathrooms,property_sqft,lot_size,city,state,zipcode,county,market_area,downpayment,estimated_taxes,monthly_payment,term_limit,pricing_options
https://swehomes.com/property/0-14th-st,"0 14th St. , Snyder , TX 79549","0 14th St. , Snyder , TX 79549","$7,999.00",,,,"Vacant land lot available at 0 14th St, Snyder, TX 79549. This blank canvas presents an excellent opportunity for your vision. Whether you're looking to build your dream home or invest in the future, this lot is a promising choice in a convenient location.",https://swehomes.com/sites/default/files/styles/property_image_slider/public/2023-11/20231108_101454.jpg?itok=6ceNOz7_,https://swehomes.com/sites/default/files/styles/property_image_slider/public/2023-11/20231108_101454.jpg?itok=6ceNOz7_|https://swehomes.com/sites/default/files/styles/property_image_slider/public/2025-05/dji_fly_20250513_150408_96_1747175987414_photo_optimized.jpg?itok=OD0OZEDM|https://swehomes.com/sites/default/files/styles/property_image_slider/public/2025-05/dji_fly_20250513_150358_95_1747175987901_photo_optimized.jpg?itok=3H2qwgXc|https://swehomes.com/sites/default/files/styles/property_image_slider/public/2025-05/dji_fly_20250513_150336_94_1747175988462_photo_optimized.jpg?itok=kacTa3Ua|https://swehomes.com/sites/default/files/styles/property_image_slider/public/2025-05/IMG_7541.PNG.jpg?itok=lOetJImO|https://swehomes.com/sites/default/files/styles/property_image_slider/public/2023-11/OnPaste.20231103-101846.png.jpg?itok=4U6uXxCK|https://swehomes.com/sites/default/files/styles/plat_map_776w/public/2023-11/OnPaste.20231103-101846_0.png?itok=spbiXaD0|https://swehomes.com/sites/default/files/2023-11/OnPaste.20231103-101846_0.png|https://swehomes.com/sites/default/files/styles/related_properties_in_the_area/public/2025-05/IMG_6865.jpg?itok=ho6y4NL3|https://swehomes.com/sites/default/files/styles/related_properties_in_the_area/public/2025-01/IMG_8816_0.jpg?itok=BpbPAncV|https://swehomes.com/sites/default/files/styles/related_properties_in_the_area/public/2026-01/Screen%20Shot%202026-01-08%20at%2010.32.24%20AM.png?itok=sVZ-8KJS|https://swehomes.com/sites/default/files/2023-07/swe-footericons.jpg|https://www.facebook.com/tr?id=338761933364675&ev=PageView&noscript=1,Available,Land,,,,9147,Snyder,Texas,79549,Scurry,Midland,"$3,000.00",$12.50,$67.73,5 years,"[{"""": ""Price"", ""OPTION ONE"": ""$7,999.00"", ""OPTION TWO"": ""$6,999.00"", ""OPTION THREE"": ""$5,999.00""}, {"""": ""Downpayment"", ""OPTION ONE"": ""$499.00"", ""OPTION TWO"": ""$1,499.00"", ""OPTION THREE"": ""$3,000.00""}, {"""": ""Estimated Taxes"", ""OPTION ONE"": ""$12.50"", ""OPTION TWO"": ""$12.50"", ""OPTION THREE"": ""$12.50""}, {"""": ""Monthly Payment *"", ""OPTION ONE"": ""$167.83"", ""OPTION TWO"": ""$123.35"", ""OPTION THREE"": ""$67.73""}]"
https://swehomes.com/property/0-22nd-st,"0 22nd St , Snyder , TX 79549","0 22nd St , Snyder , TX 79549","$16,489.00",,,,"Spacious land lot located at 0 22nd St, Snyder, TX 79549. This blank canvas of opportunity awaits your vision, offering the perfect setting for building your dream home or investment project. Explore the possibilities of this well-located piece of real estate.",https://swehomes.com/sites/default/files/styles/property_image_slider/public/2023-11/20231108_095116.jpg?itok=XBwMHf3-,https://swehomes.com/sites/default/files/styles/property_image_slider/public/2023-11/20231108_095116.jpg?itok=XBwMHf3-|https://swehomes.com/sites/default/files/styles/property_image_slider/public/2023-11/20231108_095011.jpg?itok=vdzY2BsX|https://swehomes.com/sites/default/files/styles/property_image_slider/public/2023-11/OnPaste.20231103-103551.png.jpg?itok=gWwpFBz5|https://swehomes.com/sites/default/files/styles/plat_map_776w/public/2023-11/OnPaste.20231103-103551_0.png?itok=gVjMvndm|https://swehomes.com/sites/default/files/2023-11/OnPaste.20231103-103551_0.png|https://swehomes.com/sites/default/files/styles/related_properties_in_the_area/public/2024-12/IMG_4749.jpg?itok=ZYOZjIjH|https://swehomes.com/sites/default/files/styles/related_properties_in_the_area/public/2025-02/IMG_8827.JPG?itok=Oa2kRZqt|https://swehomes.com/sites/default/files/styles/related_properties_in_the_area/public/2025-02/IMG_2889.jpg?itok=Vf6lQewX|https://swehomes.com/sites/default/files/2023-07/swe-footericons.jpg|https://www.facebook.com/tr?id=338761933364675&ev=PageView&noscript=1,Available,Land,,,,7600,Snyder,Texas,79549,Scurry,Midland,"$2,999.00",$120.00,$148.53,15 years,"[{"""": ""Price"", ""OPTION ONE"": ""$16,489.00"", ""OPTION TWO"": ""$15,519.00"", ""OPTION THREE"": ""$14,549.00""}, {"""": ""Downpayment"", ""OPTION ONE"": ""$499.00"", ""OPTION TWO"": ""$1,599.00"", ""OPTION THREE"": ""$2,999.00""}, {"""": ""Estimated Taxes"", ""OPTION ONE"": ""$120.00"", ""OPTION TWO"": ""$120.00"", ""OPTION THREE"": ""$120.00""}, {"""": ""Monthly Payment *"", ""OPTION ONE"": ""$201.78"", ""OPTION TWO"": ""$176.96"", ""OPTION THREE"": ""$148.53""}]"
https://swehomes.com/property/0-23rd-street,"0 23rd Street , Hempstead , TX 77445","0 23rd Street , Hempstead , TX 77445","$36,859.00",,,"6,250","This 6,250 sq ft lot in Hempstead, TX, offers a blank canvas for your next project. Located in Waller County with easy access to local amenities and major roads, this property is ideal for building your dream home or an investment property. Owner financing is available with flexible terms, making it easier to secure this piece of land. Whether you're looking to build now or hold for future development, this lot provides the space and potential you need.",https://swehomes.com/sites/default/files/styles/property_image_slider/public/2025-07/IMG_3172.jpeg.jpg?itok=CTKG-b2K,https://swehomes.com/sites/default/files/styles/property_image_slider/public/2025-07/IMG_3172.jpeg.jpg?itok=CTKG-b2K|https://swehomes.com/sites/default/files/styles/property_image_slider/public/2025-07/IMG_3156%20%281%29.jpeg.jpg?itok=fmXdJPro|https://swehomes.com/sites/default/files/styles/property_image_slider/public/2023-09/0%2023rd%20street%20plat%20map%20_0_0.png.jpg?itok=GkydTnhC|https://swehomes.com/sites/default/files/styles/plat_map_776w/public/2023-09/0%2023rd%20street%20plat%20map%20_0.png?itok=cHRHNHg_|https://swehomes.com/sites/default/files/2023-09/0%2023rd%20street%20plat%20map%20_0.png|https://swehomes.com/sites/default/files/styles/related_properties_in_the_area/public/2024-09/20240914_092337.jpg?itok=IQtlKtDd|https://swehomes.com/sites/default/files/styles/related_properties_in_the_area/public/2025-09/IMG_2190.jpg?itok=2_2_Jztl|https://swehomes.com/sites/default/files/styles/related_properties_in_the_area/public/2024-07/1_7.jpg?itok=WWptw7kt|https://swehomes.com/sites/default/files/2023-07/swe-footericons.jpg|https://www.facebook.com/tr?id=338761933364675&ev=PageView&noscript=1,Available,Land,,,,3,Hempstead,Texas,77445,Waller,Tennessee,"$3,500.00",$300.00,$355.63,25 years,"[{"""": ""Price"", ""OPTION ONE"": ""$36,859.00"", ""OPTION TWO"": ""$35,889.00"", ""OPTION THREE"": ""$34,919.00""}, {"""": ""Downpayment"", ""OPTION ONE"": ""$699.00"", ""OPTION TWO"": ""$1,699.00"", ""OPTION THREE"": ""$3,500.00""}, {"""": ""Estimated Taxes"", ""OPTION ONE"": ""$300.00"", ""OPTION TWO"": ""$300.00"", ""OPTION THREE"": ""$300.00""}, {"""": ""Monthly Payment *"", ""OPTION ONE"": ""$405.53"", ""OPTION TWO"": ""$384.79"", ""OPTION THREE"": ""$355.63""}]"
https://swehomes.com/property/0-25th-st,"0 25TH ST LOT PT 6-10 , Hempstead , TX 77445","0 25TH ST LOT PT 6-10 , Hempstead , TX 77445","$34,999",,,"27,000","Big land (250' x 108') Unrestricted area. This can be sold as one 27,000 sq ft or subdivided into four 6,750 sq ft lots. Utilities are available. 5 Lots selling each for: Choice 1 Price: $34,999 Down: $1,999 Monthly: $446 @ 15 years Choice 2 Price: $33,999 Down: $2,999 Monthly: $422 @ 15 years Or buy them all together for:",https://swehomes.com/sites/default/files/styles/property_image_slider/public/2025-07/IMG_3198.jpeg.jpg?itok=muqR2dy6,https://swehomes.com/sites/default/files/styles/property_image_slider/public/2025-07/IMG_3198.jpeg.jpg?itok=muqR2dy6|https://swehomes.com/sites/default/files/styles/property_image_slider/public/2025-07/IMG_3209.jpeg.jpg?itok=FYZW6ycQ|https://swehomes.com/sites/default/files/styles/plat_map_776w/public/0%252025th%2520hemp.png?itok=LAVfv1zM|https://swehomes.com/sites/default/files/0%252025th%2520hemp.png|https://swehomes.com/sites/default/files/styles/related_properties_in_the_area/public/2024-09/IMG_3971.jpg?itok=dvalCDB4|https://swehomes.com/sites/default/files/styles/related_properties_in_the_area/public/2024-12/IMG_1779_0.jpg?itok=aJ44PT6c|https://swehomes.com/sites/default/files/styles/related_properties_in_the_area/public/2024-09/OnPaste.20240916-145041.png?itok=cRS3oGRv|https://swehomes.com/sites/default/files/2023-07/swe-footericons.jpg|https://www.facebook.com/tr?id=338761933364675&ev=PageView&noscript=1,Available,Land,,,27000,,Hempstead,Texas,77445,Waller,East Texas,-,$603.17,-,30 years,"[{"""": ""Price"", ""OPTION ONE"": ""$82,449.00"", ""OPTION TWO"": ""$81,479.00"", ""OPTION THREE"": ""-""}, {"""": ""Downpayment"", ""OPTION ONE"": ""$3,999.00"", ""OPTION TWO"": ""$5,999.00"", ""OPTION THREE"": ""-""}, {"""": ""Estimated Taxes"", ""OPTION ONE"": ""$603.17"", ""OPTION TWO"": ""$603.17"", ""OPTION THREE"": ""$603.17""}, {"""": ""Monthly Payment *"", ""OPTION ONE"": ""$856.49"", ""OPTION TWO"": ""$825.96"", ""OPTION THREE"": ""-""}]"
https://swehomes.com/property/0-27th-street,"0 27th Street , Woodville , TX 75979","0 27th Street , Woodville , TX 75979","$14,999.00",,,"8,346","Explore this 8,346 sq ft land lot in Woodville, TX, ideal for building your dream home. Situated in a quiet area, it offers a peaceful living environment. Contact us today for more information on this perfect opportunity!",https://swehomes.com/sites/default/files/styles/property_image_slider/public/2025-07/IMG_7241.jpg?itok=Bev7jBf9,https://swehomes.com/sites/default/files/styles/property_image_slider/public/2025-07/IMG_7241.jpg?itok=Bev7jBf9|https://swehomes.com/sites/default/files/styles/property_image_slider/public/2025-06/Screen%20Shot%202024-04-10%20at%2012.32.30%20PM.png.jpg?itok=idj5lftH|https://swehomes.com/sites/default/files/styles/property_image_slider/public/2025-07/IMG_7239.PNG.jpg?itok=x6j93br6|https://swehomes.com/sites/default/files/styles/plat_map_776w/public/2024-04/Screen%20Shot%202024-04-10%20at%2012.32.30%20PM.png?itok=WLpX5-_H|https://swehomes.com/sites/default/files/2024-04/Screen%20Shot%202024-04-10%20at%2012.32.30%20PM.png|https://swehomes.com/sites/default/files/styles/related_properties_in_the_area/public/2024-09/IMG_3971.jpg?itok=dvalCDB4|https://swehomes.com/sites/default/files/styles/related_properties_in_the_area/public/2025-03/IMG_6470.jpg?itok=ZQ71vMws|https://swehomes.com/sites/default/files/styles/related_properties_in_the_area/public/2024-11/IMG_2594.jpg?itok=DlRsLPlP|https://swehomes.com/sites/default/files/2023-07/swe-footericons.jpg|https://www.facebook.com/tr?id=338761933364675&ev=PageView&noscript=1,Available,Land,,,8346,8346,Woodville,Texas,75979,Tyler,East Texas,"$2,999.00",$37.84,$139.40,10 years,"[{"""": ""Price"", ""OPTION ONE"": ""$14,999.00"", ""OPTION TWO"": ""$13,500.00"", ""OPTION THREE"": ""$12,500.00""}, {"""": ""Downpayment"", ""OPTION ONE"": ""$499.00"", ""OPTION TWO"": ""$1,499.00"", ""OPTION THREE"": ""$2,999.00""}, {"""": ""Estimated Taxes"", ""OPTION ONE"": ""$37.84"", ""OPTION TWO"": ""$37.84"", ""OPTION THREE"": ""$37.84""}, {"""": ""Monthly Payment *"", ""OPTION ONE"": ""$211.09"", ""OPTION TWO"": ""$175.25"", ""OPTION THREE"": ""$139.40""}]"
https://swehomes.com/property/0-95th-st-aka-9501-95th-st,"0 95th St. AKA 9501 95th St , Houston , TX 77012","0 95th St. AKA 9501 95th St , Houston , TX 77012","$79,999.00",1,1,"5,000","0 95th St is a spacious lot spanning 5,000 square feet of land value. Sitting on this lot is a 225 square foot property that you can also utilize however you'd like. Here you will be near TX-225 and I-610 and close to a bunch of great local restaurants, parks, hotels, and other great amenities. Contact us today for more information! Approx. dimensions: 50x100",https://swehomes.com/sites/default/files/styles/property_image_slider/public/2023-12/IMG_1618.JPG.jpg?itok=VCCMTPIH,https://swehomes.com/sites/default/files/styles/property_image_slider/public/2023-12/IMG_1618.JPG.jpg?itok=VCCMTPIH|https://swehomes.com/sites/default/files/styles/property_image_slider/public/2023-12/IMG_1617.JPG.jpg?itok=Qobwfc-k|https://swehomes.com/sites/default/files/styles/property_image_slider/public/2023-12/95th.JPG.jpg?itok=UyRy4-hz|https://swehomes.com/sites/default/files/styles/plat_map_776w/public/2023-12/Screen%20Shot%202023-12-13%20at%2010.48.26%20AM.png?itok=vMB44Gx-|https://swehomes.com/sites/default/files/2023-12/Screen%20Shot%202023-12-13%20at%2010.48.26%20AM.png|https://swehomes.com/sites/default/files/2023-07/swe-footericons.jpg|https://www.facebook.com/tr?id=338761933364675&ev=PageView&noscript=1,Available,Residential,1,1,225,5000,Houston,Texas,77012,Harris,Southeast Houston,"$4,999.00",$360.00,$780.21,30 years,"[{"""": ""Price"", ""OPTION ONE"": ""$79,999.00"", ""OPTION TWO"": ""$78,999.00"", ""OPTION THREE"": ""$77,999.00""}, {"""": ""Downpayment"", ""OPTION ONE"": ""$1,499.00"", ""OPTION TWO"": ""$2,999.00"", ""OPTION THREE"": ""$4,999.00""}, {"""": ""Estimated Taxes"", ""OPTION ONE"": ""$360.00"", ""OPTION TWO"": ""$360.00"", ""OPTION THREE"": ""$360.00""}, {"""": ""Monthly Payment *"", ""OPTION ONE"": ""$836.74"", ""OPTION TWO"": ""$811.04"", ""OPTION THREE"": ""$780.21""}]"
https://swehomes.com/property/0-avenida-mosqueda-lot-1-4,"0 Avenida Mosqueda Lot 1-4 , Three Rivers , TX 78071","0 Avenida Mosqueda Lot 1-4 , Three Rivers , TX 78071","$41,499.00",2,1,525,"Welcome to 0 Avenida Mosqueda, an exciting fixer-upper opportunity brimming with potential in the charming community of Three Rivers, TX. This cozy home features two bedrooms, one bathroom, and 525 square feet of living space, offering a cozy retreat awaiting your personal touch. While this property requires tender loving care and maintenance, its abundant potential shines through, presenting an ideal canvas for customization and renovation. With the right vision and investment, this humble abode has the makings of a delightful residence tailored to your preferences. Whether you're a savvy investor or a homeowner with a flair for DIY projects, seize the opportunity to breathe new life into 0 Avenida Mosqueda and transform it into the home of your dreams. Here you will be near Ponce and Tips Park as well as have easy access to TX-72. Contact us today for more information! AS IS.",https://swehomes.com/sites/default/files/styles/property_image_slider/public/2025-02/IMG_9718.jpg?itok=LgseY4Fe,https://swehomes.com/sites/default/files/styles/property_image_slider/public/2025-02/IMG_9718.jpg?itok=LgseY4Fe|https://swehomes.com/sites/default/files/styles/property_image_slider/public/2025-02/IMG_9725.jpg?itok=cyR8N3Yq|https://swehomes.com/sites/default/files/styles/property_image_slider/public/2025-02/IMG_9724.jpg?itok=YTmd0rAn|https://swehomes.com/sites/default/files/styles/property_image_slider/public/2025-02/IMG_9721.jpg?itok=alBP53Mv|https://swehomes.com/sites/default/files/styles/property_image_slider/public/2026-02/20260129_181533440_iOS.jpg?itok=NXxGn5Ki|https://swehomes.com/sites/default/files/styles/related_properties_in_the_area/public/2024-09/20240916_144831.jpg?itok=B1sjM9vb|https://swehomes.com/sites/default/files/styles/related_properties_in_the_area/public/2025-05/20250418_124451.jpg?itok=Q6brzyaG|https://swehomes.com/sites/default/files/styles/related_properties_in_the_area/public/2023-08/1_18.jpg?itok=iOEtX7wo|https://swehomes.com/sites/default/files/2023-07/swe-footericons.jpg|https://www.facebook.com/tr?id=338761933364675&ev=PageView&noscript=1,Available,Residential,2,1,525,9600,Three Rivers,Texas,78071,Live Oak,Gulf Coast,"$3,500.00",$180.00,$447.49,15 years,"[{"""": ""Price"", ""OPTION ONE"": ""$41,499.00"", ""OPTION TWO"": ""$40,529.00"", ""OPTION THREE"": ""$39,559.00""}, {"""": ""Downpayment"", ""OPTION ONE"": ""$795.00"", ""OPTION TWO"": ""$1,799.00"", ""OPTION THREE"": ""$3,500.00""}, {"""": ""Estimated Taxes"", ""OPTION ONE"": ""$180.00"", ""OPTION TWO"": ""$180.00"", ""OPTION THREE"": ""$180.00""}, {"""": ""Monthly Payment *"", ""OPTION ONE"": ""$503.20"", ""OPTION TWO"": ""$479.53"", ""OPTION THREE"": ""$447.49""}]"
https://swehomes.com/property/0-barge-rd,"0 Barge Rd , Zavalla , TX 75980","0 Barge Rd , Zavalla , TX 75980","$34,999.00",2,2,"6,200","0 Barge Rd presents a wonderful opportunity to own land in the Zavalla area! This 6,200 sqft. lot of land also has a home on-site that you can renovate to your liking. The property needs some work, but can transform into a great living space. Contact us today for more information!",https://swehomes.com/sites/default/files/styles/property_image_slider/public/2025-08/20250805_160509207_iOS.jpg?itok=h6D7mwR4,https://swehomes.com/sites/default/files/styles/property_image_slider/public/2025-08/20250805_160509207_iOS.jpg?itok=h6D7mwR4|https://swehomes.com/sites/default/files/styles/property_image_slider/public/2025-08/20250805_160604820_iOS.jpg?itok=tI5LckPt|https://swehomes.com/sites/default/files/styles/property_image_slider/public/2025-08/20250805_160537200_iOS.jpg?itok=LetjivjF|https://swehomes.com/sites/default/files/styles/property_image_slider/public/2025-08/20250805_160557672_iOS.jpg?itok=w28awsqX|https://swehomes.com/sites/default/files/styles/property_image_slider/public/2025-08/20250805_160532452_iOS.jpg?itok=xFvV5My5|https://swehomes.com/sites/default/files/styles/property_image_slider/public/2025-08/20250805_160659031_iOS.jpg?itok=dgIGm5hV|https://swehomes.com/sites/default/files/styles/property_image_slider/public/2025-08/20250805_160723727_iOS.jpg?itok=pPY-OhXf|https://swehomes.com/sites/default/files/styles/property_image_slider/public/2025-08/20250805_160729748_iOS.jpg?itok=LwU9YuHZ|https://swehomes.com/sites/default/files/styles/property_image_slider/public/2025-08/20250805_160825812_iOS.jpg?itok=HmSPkfVt|https://swehomes.com/sites/default/files/styles/property_image_slider/public/2025-08/20250805_160830241_iOS.jpg?itok=a0dE5MI1|https://swehomes.com/sites/default/files/styles/property_image_slider/public/2025-08/20250805_160839237_iOS.jpg?itok=zs1n_AWw|https://swehomes.com/sites/default/files/styles/property_image_slider/public/2025-08/20250805_160920545_iOS.jpg?itok=-m5PTIBV|https://swehomes.com/sites/default/files/styles/property_image_slider/public/2025-08/20250805_160923565_iOS.jpg?itok=_3WJ6ow4|https://swehomes.com/sites/default/files/styles/property_image_slider/public/2025-08/20250805_160934178_iOS.jpg?itok=5VOKWtRs|https://swehomes.com/sites/default/files/styles/related_properties_in_the_area/public/2024-11/IMG_20241125_120247007.jpg?itok=UT57anSF|https://swehomes.com/sites/default/files/styles/related_properties_in_the_area/public/2025-02/IMG_6673.JPG?itok=G84gE_wl|https://swehomes.com/sites/default/files/styles/related_properties_in_the_area/public/2025-06/IMG_1108%20%281%29.jpg?itok=yATfZBzt|https://swehomes.com/sites/default/files/2023-07/swe-footericons.jpg|https://www.facebook.com/tr?id=338761933364675&ev=PageView&noscript=1,Available,Residential,2,2,924,6200,Zavalla,Texas,75980,Angelina,East Texas,"$3,500.00",$180.00,$344.82,15 years,"[{"""": ""Price"", ""OPTION ONE"": ""$34,999.00"", ""OPTION TWO"": ""$32,999.00"", ""OPTION THREE"": ""$30,999.00""}, {"""": ""Downpayment"", ""OPTION ONE"": ""$799.00"", ""OPTION TWO"": ""$1,999.00"", ""OPTION THREE"": ""$3,500.00""}, {"""": ""Estimated Taxes"", ""OPTION ONE"": ""$180.00"", ""OPTION TWO"": ""$180.00"", ""OPTION THREE"": ""$180.00""}, {"""": ""Monthly Payment *"", ""OPTION ONE"": ""$425.19"", ""OPTION TWO"": ""$386.81"", ""OPTION THREE"": ""$344.82""}]"
https://swehomes.com/property/0-bishop-st,"0 Bishop St , Marshall , TX 75670","0 Bishop St , Marshall , TX 75670","$18,429.00",,,,"7,150 Sq. Ft. lot in Marshall, TX. Located in a quiet neighborhood and with easy access to major highways! Just a few miles from East Texas Baptist University and Wiley College. Also, a short distance to many local shops and eateries. Great opportunity! More Details to come. As Is. Approx. Front Dimension: 142",https://swehomes.com/sites/default/files/styles/property_image_slider/public/2024-03/1_29.jpg?itok=AUGsyzAD,https://swehomes.com/sites/default/files/styles/property_image_slider/public/2024-03/1_29.jpg?itok=AUGsyzAD|https://swehomes.com/sites/default/files/styles/property_image_slider/public/2024-03/2_14.jpg?itok=0ZSlrQwo|https://swehomes.com/sites/default/files/styles/property_image_slider/public/2024-03/3_15.jpg?itok=KM4oJHtH|https://swehomes.com/sites/default/files/styles/plat_map_776w/public/2023-12/0%20bishop%20st%20marshall%20cad%20map%20_0.png?itok=cOBoKzzq|https://swehomes.com/sites/default/files/2023-12/0%20bishop%20st%20marshall%20cad%20map%20_0.png|https://swehomes.com/sites/default/files/styles/related_properties_in_the_area/public/2025-05/IMG_6541.jpg?itok=loz1zwmX|https://swehomes.com/sites/default/files/styles/related_properties_in_the_area/public/2023-03/4836Heron2.jpeg?itok=K63MCKRL|https://swehomes.com/sites/default/files/styles/related_properties_in_the_area/public/2024-05/IMG_5309.JPG?itok=226YEMRZ|https://swehomes.com/sites/default/files/2023-07/swe-footericons.jpg|https://www.facebook.com/tr?id=338761933364675&ev=PageView&noscript=1,Available,Land,,,,7150,Marshall,Texas,75670,Harrison,Northeast Texas,"$2,999.00",$28.40,$195.82,10 years,"[{"""": ""Price"", ""OPTION ONE"": ""$18,429.00"", ""OPTION TWO"": ""$17,459.00"", ""OPTION THREE"": ""$16,489.00""}, {"""": ""Downpayment"", ""OPTION ONE"": ""$499.00"", ""OPTION TWO"": ""$1,599.00"", ""OPTION THREE"": ""$2,999.00""}, {"""": ""Estimated Taxes"", ""OPTION ONE"": ""$28.40"", ""OPTION TWO"": ""$28.40"", ""OPTION THREE"": ""$28.40""}, {"""": ""Monthly Payment *"", ""OPTION ONE"": ""$259.49"", ""OPTION TWO"": ""$229.80"", ""OPTION THREE"": ""$195.82""}]"
https://swehomes.com/property/0-caney-creek,"0 Caney Creek , Vidor , TX 77662","0 Caney Creek , Vidor , TX 77662","$49,149.00",,,,"Great opportunity! 1 acre of vacant land at 0 Caney Creek, Vidor, TX 77662 is now available for sale. This expansive and picturesque lot provides a blank canvas for your dream home or investment ventures. Discover the endless possibilities this property offers in a tranquil and inviting location.",https://swehomes.com/sites/default/files/styles/property_image_slider/public/2024-01/IMG_1560_0.jpeg.jpg?itok=8XykD8mt,https://swehomes.com/sites/default/files/styles/property_image_slider/public/2024-01/IMG_1560_0.jpeg.jpg?itok=8XykD8mt|https://swehomes.com/sites/default/files/styles/property_image_slider/public/2024-01/IMG_1557_0.jpeg.jpg?itok=2SSBJ_aB|https://swehomes.com/sites/default/files/styles/property_image_slider/public/2024-01/IMG_1556%20%281%29_0.jpeg.jpg?itok=6SieY680|https://swehomes.com/sites/default/files/styles/property_image_slider/public/2024-01/IMG_1556_0.jpeg.jpg?itok=9qELp50e|https://swehomes.com/sites/default/files/styles/plat_map_776w/public/2023-11/OnPaste.20231101-170708_0.png?itok=-OmbiQ_1|https://swehomes.com/sites/default/files/2023-11/OnPaste.20231101-170708_0.png|https://swehomes.com/sites/default/files/styles/related_properties_in_the_area/public/2024-11/IMG_5092.jpg?itok=w59gGPBb|https://swehomes.com/sites/default/files/styles/related_properties_in_the_area/public/IMG_1930_2.JPG?itok=LuRj7xYd|https://swehomes.com/sites/default/files/styles/related_properties_in_the_area/public/2023-04/8293363-8dd17ff754ce443095055606c1263b84.jpg?itok=TMfwRdHq|https://swehomes.com/sites/default/files/2023-07/swe-footericons.jpg|https://www.facebook.com/tr?id=338761933364675&ev=PageView&noscript=1,Available,Land,,,,43560,Vidor,Texas,77662,Orange,Beaumont,"$4,500.00",$309.00,$450.44,30 years,"[{"""": ""Price"", ""OPTION ONE"": ""$49,149.00"", ""OPTION TWO"": ""$48,199.00"", ""OPTION THREE"": ""$45,825.00""}, {"""": ""Downpayment"", ""OPTION ONE"": ""$999.00"", ""OPTION TWO"": ""$2,500.00"", ""OPTION THREE"": ""$4,500.00""}, {"""": ""Estimated Taxes"", ""OPTION ONE"": ""$309.00"", ""OPTION TWO"": ""$309.00"", ""OPTION THREE"": ""$309.00""}, {"""": ""Monthly Payment *"", ""OPTION ONE"": ""$520.58"", ""OPTION TWO"": ""$495.39"", ""OPTION THREE"": ""$450.44""}]"
